sample,yield,P-mositure,P-acid,P-sugar,P-starch,D-mositure,D-acid,D-sugar,D-starch,P-lactic_acid,P-ethanol,D-lactic_acid,D-ethanol
R1-1,38.15384615,43.5,1.2,0.72,31.32,42.9,0.91,1.54,34.38,18.1,20.7,2.8,16.2
R1-2,33.85,41,1.4,0.5,37,42,0.8,1.3,33,3.4,19.6,2.4,15.8
R1-3,39.19230769,40.3,1.3,0.8,30.42,43.2,0.91,1.33,34.02,10.9,12.8,2.2,15.8
R1-4,40,40.6,1.3,0.64,30.6,44.4,0.9,1.54,34.38,14.4,19.4,2.6,12.7
R1-5,37.96153846,41.3,1.01,1.32,32.58,43.8,0.91,1.57,36.36,3.2,10.3,2.9,12.6
R1-6,40.2,43.3,1,0.64,31.32,42.1,0.81,1.92,34.2,15.5,19.9,3.1,11.8
R1-7,36.92,41,1.01,0.37,36.13,44.2,0.83,1.25,34.56,0,10.4,1,11.8
R1-8,43.44,38.1,0.65,1.28,37.62,39.1,0.66,1.43,42.75,4.6,10.9,2.7,11.6
R1-9,36.84615385,40,1.01,1.26,32.94,44.7,0.91,0.88,32.22,2.8,25.9,2.7,11.4
R1-10,31,44,1,0.1,35,44,1.1,0.5,28,1.8,13.2,1.2,11.2
R1-11,40.68208333,41.4,1.11,1.09,36.4,42.7,0.88,1.97,35.68,2,10.4,2.8,10.8
R1-12,31.46,45.8,1.02,0.04,34.42,43.4,1.29,1.27,32.22,3.2,13.8,2.6,10.8
R1-13,35,44,1,0.1,36,43,1,0.7,37,1.8,17.6,2.2,10.8
R1-14,31,43,1.3,0.1,31,42,1.1,1.4,37,1.2,21.2,1.2,10.8
R1-15,49.68,43,0.9,0.3,35,41,1,0.8,35,3,19.8,1.4,10.6
R1-16,35.23,41.9,1.04,0.28,35.1,43,0.8,0.88,36.72,2.6,7.4,1.4,10.6
R1-17,34.47,39.2,1.1,3.1,40.1,41.4,0.7,0.9,39.2,0.5,9.4,1.5,10.2
R1-18,39.80769231,41.5,1.11,0.84,33.3,42,0.91,1.52,34.38,3.9,8,3.2,9.9
R1-19,43.08,42.2,0.7,1.06,38.79,41.4,0.8,1.51,40.23,6.6,8.5,3,9.7
R1-20,36.36,39.6,0.96,0.68,33.32,40.5,1.18,1.51,33.17,2.4,12.4,2.2,9.6
R1-21,44.07,42.3,0.8,0.8,40.1,40.8,0.7,2.4,34.8,1.6,11.8,1.6,9.6
R1-22,36.52,44.6,1.01,0.33,36.25,42.8,1.41,0.67,32.59,1,8.4,1,9.6
R1-23,44.92,43.5,1.45,0.2,32.72,40.2,1.13,1.87,34.79,0.6,17,1,9.4
R1-24,42.09,42.8,0.97,0.47,35.82,39.5,1.1,1.52,33.48,1.8,6,0.2,9.4
R1-25,46.67,41.3,1.11,1.06,38.34,41.2,0.7,1.79,35.1,2.8,5.4,4.6,9.2
R1-26,40,42,1.02,0.3,35.96,40.3,1.35,1.03,33.1,3.2,12.6,2,9.2
R1-27,39.3,44,0.9,0.1,37,42,1,0.6,34,1.8,18,1.8,9.2
R1-28,36.65384615,42.3,1,0.46,30.96,45.3,0.9,1.59,35.64,11.5,14.8,2.5,9.1
R1-29,51.88,42.2,0.77,0.91,33.48,40.4,1,2.1,37.08,3.4,0.4,1.6,9.1
R1-30,37.52,38,0.95,1.13,38.52,41,0.6,1.8,41.58,3,12.9,3.4,9
R1-31,42.15,43,0.9,0.3,38,43,0.7,0.5,30,1.2,21.8,1,9
R1-32,34.47,40.8,1,2.6,40.2,39.1,0.2,0.8,32.3,2.9,10.2,0.9,9
R1-33,39.92,43,1,0.8,36,44,0.6,1.9,35,2.4,14,2.4,8.8
R1-34,40,43,1.1,0.4,31,45,1.2,0.4,34,2.4,20.8,1.8,8.8
R1-35,43.5,40.3,0.82,0.25,38.52,44.5,0.8,1.6,36.63,1.6,14.6,1.4,8.8
R1-36,40.81956522,42.8,1.28,1.05,33.93,44.6,1.33,1.88,32.4,3,10.6,2.4,8.6
R1-37,23.64,40,1.11,0.45,34.79,39.8,0.4,0.91,34.54,0,14.2,2.2,8.6
R1-38,30.12,41.8,1.01,0.24,31.68,39,0.9,1.04,34.02,1.6,11.4,2,8.6
R1-39,39.54,41.1,1,0.5,36.8,41.9,1.7,1.4,41.2,1.9,11.4,1.6,8.6
R1-40,24.33,42.3,1.42,1.13,36.41,43.7,1.34,1.7,36.18,1.6,7.6,0,8.6
R1-41,27.59,42.2,1.11,0.48,32.49,40.2,0.51,1.02,31.68,2.8,12.4,2.6,8.2
R1-42,49.27,45,1.03,0.66,31.82,45.1,1.1,1.47,31.14,2.8,16.7,1.2,8.2
R1-43,27.1996,41.9,1.1,1.34,30.78,40.2,0.7,1.35,35.28,6.9,9.5,1.1,8.2
R1-44,35.7,41,1.1,1.29,40.68,40.8,0.7,1.41,32.49,3.4,6.1,3.3,8.1
R1-45,43.27,41.2,0.9,0.1,32.8,44,0.9,0.5,36,2.4,19.4,2.4,8
R1-46,38.89,39.4,0.8,0.4,44.2,43.6,0.8,1,32.6,1,20.1,0.4,8
