sample,yield,P-mositure,P-acid,P-sugar,P-starch,D-mositure,D-acid,D-sugar,D-starch,P-lactic_acid,P-ethanol,D-lactic_acid,D-ethanol
R1-47,49.09,41.8,1.1,0.46,35.66,42.3,1.01,1.12,32,1.2,8.8,2.8,7.8
R1-48,44.38461538,43.1,1.3,0.94,34.74,43.7,0.91,1.4,33.12,2.8,15.7,2.6,7.8
R1-49,33,42.9,1.38,0.8,36.72,38.9,0.94,1.29,32.24,3,11.4,2.3,7.8
R1-50,36.16,39.3,0.85,1.42,38.16,40.5,0.6,1.4,42.21,3.6,12.5,2.2,7.8
R1-51,39.73,39.4,0.92,0.25,35.03,40.8,0.62,0.72,35.46,0.2,9,1.6,7.8
R1-52,34.58,41.2,0.81,0.22,36.94,38.1,0.5,1.31,38.84,0,12.2,0.6,7.8
R1-53,45.36,44.4,0.91,0.88,31.64,43.4,1.02,1.73,34.56,2.4,12.6,1.7,7.7
R1-54,37.92,44.9,1.01,0.34,36.54,43.4,0.91,1.04,34.02,2.6,10.4,5.8,7.6
R1-55,38.58,43.7,1.2,0.9,33.5,42.2,0.8,2.1,38.3,1.8,13.8,2.8,7.6
R1-56,57.69,41.7,1.45,0.43,34.72,43,1.3,1.6,34,2.8,12.8,2.2,7.6
R1-57,38.88,41.6,0.91,0.59,35.46,39.4,0.42,0.78,34.96,2,15.8,2,7.6
R1-58,36.95,39.5,1.24,1.25,35.66,44.2,1.19,1.8,37.62,1.2,8.4,2,7.6
R1-59,32,44,1.4,0.3,35,42,0.9,1.4,34,2.4,17.2,1.8,7.6
R1-60,39,43,0.5,0.1,32,42,1.1,0.5,36,2.2,17.4,1.6,7.6
R1-61,38.13,41.5,1.11,0.3,35.82,41.7,1.33,1.04,34.85,1.8,9.7,1.2,7.6
R1-62,26.59,41.9,1.41,0.46,32.94,41,1.24,1.38,35.64,2.2,10.6,0.4,7.6
R1-63,34.73,40,0.88,1.04,33.84,39.6,0.93,1.47,32.04,3.4,11.4,3.2,7.5
R1-64,27.8076,41.2,1.2,1.3,30.78,41.1,0.9,1.96,33.84,8.5,8.9,1.7,7.5
R1-65,26.3096,40.2,1,0.82,34.56,42.7,0.91,1.61,36.18,2.4,12.5,2.4,7.4
R1-66,39.48,43,1.3,0.7,36,44,1,0.7,35,3.2,18.2,2.2,7.4
R1-67,38,44,1,0.4,35,42,0.8,1.1,32,1.2,17.2,2.2,7.4
R1-68,36.72,44,1,0.1,36,44,0.6,1,31,3,20.4,1.8,7.4
R1-69,41.96,40.6,0.98,0.9,33.84,43,0.82,1.44,30.78,2,8.6,1.4,7.4
R1-70,48.88,41.2,1,0.97,32.76,40.1,1.13,1.4,31.5,4,4.6,2.8,7.3
R1-71,39.37,43.8,0.86,0.45,35.46,43.9,0.88,1.57,34.74,2.2,15,1.6,7.2
R1-72,35.36,40.9,0.82,1.87,38.43,39,0.65,1.29,37.26,1,8.6,1.4,7.2
R1-73,24.58,40.8,0.86,0.53,36.54,42.6,0.82,0.99,35.82,2.2,8.2,1.4,7.2
R1-74,45.13,42,0.82,1.09,32.58,43.5,0.74,1.71,34.02,2,7.7,1.4,7.2
R1-75,39.36,39.6,0.5,1.17,41.67,39,0.84,1.53,37.53,3.8,15.3,4,7.1
R1-76,35.5,43.6,1.44,0.32,32.58,41.7,1.28,1.89,32.4,4.7,10.7,3.5,7
R1-77,38.46153846,41.7,1.1,0.52,34.02,44.3,0.91,1.2,34.56,3,19.6,2,7
R1-78,45.16,42.2,1.01,0.82,34.56,40.7,0.83,2.1,35.82,2.8,8.2,1.9,7
R1-79,31.15,39.4,0.72,1.31,38.25,39.3,0.93,1.74,34.74,5.2,10,2.4,6.9
R1-80,47.19,41.6,1.35,0.46,41.76,43.3,0.7,1.74,30.6,2.6,6.6,2,6.9
R1-81,37.15384615,41,1.11,0.73,34.02,44.9,1.11,1.82,36.36,2.4,11.6,1.7,6.9
R1-82,34.16,39.2,1.22,0.55,34.02,43.2,1.3,1.1,36.4,2.6,9,2.4,6.8
R1-83,40,45,1,0.1,38,43,0.8,1.3,27,2.6,13.6,1.6,6.8
R1-84,34.4,38.7,1.1,1.28,41.58,39.4,0.7,1.82,36.9,3.1,18.1,4.4,6.7
R1-85,49.1,40.2,0.71,0.13,35.1,39.4,0.91,1.65,36.18,1,13.6,2,6.6
R1-86,32.52,41,0.8,0.5,41.5,40.4,0.7,0.8,42.2,1.3,14.4,1.2,6.6
R1-87,40.58,44.2,0.91,0.23,34.94,41.7,1.75,1.35,35.1,1,11.4,1,6.6
R1-88,31.36,42,1,0.8,33.1,39.5,0.7,1,34.6,1.6,14.8,0.8,6.6
R1-89,24.57,39.6,0.59,0.91,34.02,40.5,0.59,1.64,37.8,0,12.8,0.8,6.6
R1-90,35.22,39,1.71,0.58,34.47,40,0.99,1.09,36.74,1.4,13.2,2.6,6.4
R1-91,32.52,41.3,0.9,0.6,32.5,43.2,0.7,0.6,42.8,2.2,10.2,1.8,6.4
R1-92,31.73,44,0.8,1.4,35,42,1.2,0.8,29,2.6,16.8,1.6,6.4
R1-93,36.3,43.6,1.86,0.11,33.66,45.3,1.44,2.13,33.12,4.7,12.9,2.7,6.3
R1-94,23.69,45.6,1.41,0.75,31.32,41,1.41,0.98,32.67,1.8,22.2,2.8,6.2
R1-95,27.5476,40.4,0.9,0.75,34.38,40.7,0.91,1.54,34.92,2.5,15.3,2.6,6.2
R1-96,39.67,41.7,0.8,0.3,39.2,41.6,0.7,0.9,38.7,2,22.2,2,6.2
R1-97,27.5984,40.7,1.3,1.27,31.68,40.6,0.9,1.67,34.2,10.4,10.7,2,6.2
R1-98,40.1,42.3,0.78,0.31,35.44,39.5,0.7,0.72,34.6,3.2,12.6,1.8,6.2
R1-99,38.89,40,0.8,0.8,41.3,42.1,1,1.5,34.9,2,11.4,0.6,6.2
R1-100,34.4,43.2,1.29,0.79,39.96,44.4,1.19,1.5,31.5,3.5,8.7,3.8,6.1
R1-101,31.24,39.8,1.92,0.63,35.82,39.5,0.96,1.06,34.74,1.8,10.8,4.4,6
R1-102,32.08541667,41.3,1.11,1.42,38.2,39.7,0.91,1.77,35.82,2.2,7.6,3.2,6
R1-103,40.9,43.4,0.99,0.14,33.46,44.2,1.34,1.73,36.54,1.4,10.6,2.6,6
R1-104,42,43.6,1.03,0.28,37.26,40.3,1,1.08,34.15,2,13.8,2.2,6
R1-105,42.38,42,1.5,1.3,37.4,41.3,0.8,1.1,37.3,1.8,22.6,1.8,6
R1-106,42.32,41.6,1.1,0.8,34,42.1,1.3,1.2,37.3,3,14.4,1.5,6
R1-107,35.77,39.1,0.93,0.84,39.78,41.4,0.93,1.84,35.64,3.8,13.6,3.9,5.8
R1-108,31.36,39.4,1.13,1.34,34.56,39.7,0.62,1.52,37.98,3.3,8.3,3,5.8
R1-109,36.91,42.2,1.11,0.76,35.1,41.9,1.01,0.93,35.82,3.2,11.9,2.6,5.8
R1-110,38.61,43.5,1.01,0.3,34.92,41.4,1.02,1.4,37.06,1.8,13.2,1.8,5.8
R1-111,34.86416667,42.6,1.2,0.98,34.15,42.1,0.86,1.72,34.56,1.8,13.8,1.4,5.8
R1-112,31.25,41.6,1,0.57,35.62,41.6,0.68,2.62,36.36,2.2,13,1.3,5.8
R1-113,34.2,42,1.28,0.59,37.08,41.8,0.99,1.84,32.58,4.2,6,4.5,5.6
R1-114,34.4,38.4,0.6,1.44,37.62,38.4,0.75,1.41,41.22,4.2,18,3.2,5.6
R1-115,39.48,40.6,0.8,0.16,38.34,44.6,1.01,1.21,34.56,1.4,15.8,2.6,5.6
R1-116,29.79,40.9,1.11,0.93,35.64,44.5,0.81,1.07,35.1,2.8,7.6,2.6,5.6
R1-117,40.05,43.5,1,0.4,38,39.3,0.6,1,36.3,0.8,20,1.8,5.6
R1-118,35.87,42.4,0.8,0.4,39.9,41.5,0.6,0.7,40.1,1.5,6.2,0.5,5.6
R1-119,34.7,42.6,1.24,0.39,36.54,40.2,1.08,2.28,34.56,5,15.5,2.7,5.5
R1-120,24.12,41.3,1.22,0.91,35.1,42.9,0.91,1.01,35.28,3,5.3,2.7,5.5
R1-121,29.27,40.4,1.01,0.35,36.18,40.4,0.91,0.99,32.22,1.8,8.8,3,5.4
R1-122,42.08826087,41.6,1.38,1.2,35.91,40.3,0.97,1.34,33.1,1.8,13.5,2.8,5.4
R1-123,42.5925,42.6,0.72,0.48,33.64,42.5,1.29,1.14,35.73,1.6,11.2,2.8,5.4
R1-124,37.60304348,41.5,0.91,1.19,35.28,41.6,0.83,1.43,36.9,1.8,9,2,5.4
R1-125,28.79,41.2,1.57,0.82,36.9,43,0.5,1.63,35.32,2.8,13,1.6,5.4
R1-126,31.53,41.2,1.01,0.62,34.29,41.4,0.82,1.19,34.74,1.4,12.6,1.6,5.4
R1-127,49.95,42,1.48,0.33,34.56,41.1,1.36,1.27,36,2.4,9.2,1.6,5.4
R1-128,34.04,45,1.2,0.6,35,42,1,1.6,36,3.2,12.2,1.4,5.4
R1-129,36.19230769,42.5,1.22,1.03,33.48,42.4,0.71,1.46,34.74,2.6,12.5,2.8,5.3
R1-130,26.66,43.9,1.38,0.37,36.05,41.9,1.29,1.23,32.94,3.4,9.6,2.8,5.3
R1-131,39.38,41.5,1.24,1.08,35.46,42,0.82,1.57,31.5,3.9,13.4,2.3,5.3
R1-132,36.6,41.1,1.15,0.94,41.94,41.7,0.92,1.24,37.08,4.4,0.4,2,5.3
R1-133,36.1,43.9,1.49,0.99,32.58,40.9,0.72,1.33,35.1,0.6,10,4.9,5.2
R1-134,30.54,39.3,0.95,1.27,38.34,41.8,1.03,1.06,36.45,2.6,9.8,2.5,5.2
R1-135,42.73,42.2,0.8,0.5,38.7,40.5,0.7,1.3,37.3,1.4,10.6,2,5.2
R1-136,41.2,40.6,0.8,0.7,39.2,40.3,0.8,0.9,39.3,0.6,19.7,1.1,5.2
R1-137,35.69,41.2,0.7,0.3,43.1,42.1,1.6,1.4,40.7,2,12.1,0.8,5.2
R1-138,39.54,39.5,0.9,0.4,37.2,42.8,1.6,2,41.8,2.3,10.4,0.8,5.2
R1-139,35.6,38.8,1.29,0.4,36.36,40,1.03,2.27,34.92,4.8,10,4.3,5.1
R1-140,35.2,40.4,1.34,0.43,38.16,40.4,1.13,1.94,35.64,5.2,5.8,3.1,5.1
R1-141,27.8384,41.3,0.9,1.31,31.5,42,1.1,1.4,36.18,14.4,19.4,2.4,5.1
R1-142,27.4156,41.9,1,1.37,31.86,41,0.71,1.37,32.76,12.2,16.8,1.9,5.1
R1-143,41.06,40.6,1,0.4,42.8,40.3,0.9,0.5,42.6,1.6,9.7,2.6,5
R1-144,42.38,41.5,1.3,1.8,34.6,40.4,0.8,0.9,38.2,3,10.4,2.2,5
R1-145,42.73,41.7,1.1,0.6,36.9,40.7,0.6,0.4,34.4,0.8,8.6,2,5
R1-146,41.2,43.4,1.2,0.3,36.8,42.1,0.7,1.3,41.5,1.2,6.3,1.9,5
R1-147,34.31,39.4,1.11,0.75,36,38,1.16,2.35,36.54,1.4,7.2,1.8,5
R1-148,41.29,41,1.2,0.3,35,43,0.7,0.6,32,2.2,18.2,1.2,5
R1-149,42.75,44,1.01,0.55,35.28,40.2,0.86,1.11,35.46,1.6,11.4,0.8,5
R1-150,42,44.3,0.86,0.23,35.28,43.6,1.15,0.96,34.92,0.4,11.6,0.6,5
R1-151,41.11538462,42.6,1.11,1.43,35.64,43.2,0.81,1.6,35.64,2.6,12.1,2.1,4.9
R1-152,27.814,42.3,1,1.32,31.14,42.8,0.6,1.67,31.32,11.9,15.9,1.5,4.9
R1-153,45.85,42.2,1.42,0.49,34.56,40.4,0.71,1.34,35.46,2.4,12.8,4,4.8
R1-154,48.24,41.4,1.75,0.44,35.46,39.7,1.22,1.9,35.28,5.8,1.3,3.7,4.8
R1-155,40.46,40.2,0.87,0.26,38.12,41.9,0.81,1.28,36.72,2.6,11.2,2,4.8
R1-156,30.9216,41,1.11,0.82,35.1,39.7,0.81,1.9,38.16,2.8,2.4,2,4.8
R1-157,51.27,43.8,0.76,0.65,32.58,40.2,0.81,1.11,34.38,2,15.8,1.6,4.8
R1-158,43.66,42.8,0.75,0.26,35.41,43.4,1.01,1.42,32.4,3,14.6,1.6,4.8
R1-159,32.2,44,1,0.1,33,43,0.9,2.1,36,3.6,15.8,1.3,4.8
R1-160,32.69,40.8,1,0.9,38.8,40.7,0.9,2.3,37.1,1.6,12.6,2.8,4.6
R1-161,32.69,40.8,1.1,0.6,41.9,41.2,0.7,3.2,35.8,2.2,8.1,2.8,4.6
R1-162,34.7,39.6,1.1,1,36.4,41.3,1.1,1.1,39.1,1.6,7.2,1.6,4.6
R1-163,35,40,1.1,0.2,34,43,0.8,1.3,32,2.8,14.2,1.2,4.6
R1-164,46.58,41.6,1.1,0.9,36,40.7,1.2,1,37.3,2,20.6,1,4.6
R1-165,50.96,40.5,0.5,0.59,36,43.3,0.6,1.56,34.02,3.2,8.8,1.6,4.4
R1-166,37.44,44.8,1.01,0.69,32.94,40.9,0.8,0.73,36.54,1.2,7.4,1.4,4.4
R1-167,35.69,42.3,0.8,0.4,41.3,42.1,1.3,1.2,39.1,1.4,15,1.2,4.4
R1-168,42.32,42,0.7,0.2,34.2,41,1.3,1.4,38.7,2,17.6,2.2,4.3
R1-169,35.87,39.9,0.8,0.8,39.9,41.1,0.7,0.5,36.1,0.7,7.5,0.8,4.3
R1-170,31.74,38.4,0.93,1.18,34.2,38.1,0.82,1.97,38.16,3.4,11.1,3.5,4.2
R1-171,27.4876,42.1,1.1,1.32,29.52,42.1,0.8,1.59,28.62,9.2,12.6,2.8,4.2
R1-172,36.55,40.9,0.7,0.14,38.7,39.4,0.39,1.27,41.09,1.4,13.6,2.2,4.2
R1-173,40.49636364,43.1,1.04,0.93,33.12,43.6,0.96,2.32,34.38,3,13.6,1.8,4.2
R1-174,43.29,41.9,1.11,0.34,37.98,42.1,1,1.66,35.28,1,4.3,1.8,4.2
R1-175,33.96,42.2,1.1,0.2,41,40.9,0.8,0.9,37.1,2.2,11,1,4.2
R1-176,31.38,40.1,0.65,1.62,31.59,42.1,1,1.35,33.93,3.2,11.6,3.8,4.1
R1-177,21.04,41.2,1.21,1.27,34.56,43.2,1.11,1.01,35.28,2.8,7.5,3.9,4
R1-178,48.59,39.6,1.1,0.72,37.44,38.2,0.81,1.1,33.12,1.5,8.6,2.6,4
R1-179,49.36,39.2,0.81,0.76,38.16,40.1,0.81,1.24,37.98,2.5,14.3,2.4,4
R1-180,31.15,42,0.9,0.3,32,44,1.2,0.9,30,3.2,13.4,2.2,4
R1-181,30.9216,41,1.11,0.59,37.26,39.8,1.01,1.77,38.52,3,2.7,2,4
R1-182,37.7,42.2,1.03,0.74,36.18,40.9,1.13,2.09,32.04,3.9,9.5,4,3.9
R1-183,31.27,38.6,1.13,1.58,37.53,38.9,0.82,1.47,36,3.7,13.3,3,3.8
R1-184,41.07,43,1.51,0.43,30.42,41.2,1.33,1.28,31.9,3.6,13,3,3.8
R1-185,21.05,41,1.01,1.47,35.46,42.9,0.91,1.07,35.1,2.7,4.9,2.8,3.8
R1-186,34.63,40.8,0.82,1.74,39.06,40.3,1.19,1.82,37.89,4,13.9,2.6,3.8
R1-187,27.674,40.6,1.01,1.1,36.36,41.6,0.81,1.67,34.74,3,9.8,2.6,3.8
R1-188,40.23086957,41.5,1.26,0.85,35.91,40.5,1.94,1.42,33.48,1.8,18.4,2.4,3.8
R1-189,39.69,42.4,1.11,1.03,34.74,38.2,0.81,1.34,37.08,3,12.6,2.2,3.8
R1-190,45.85,42,0.96,0.57,33.3,37.4,0.71,1.17,36.36,1.8,15.4,1.8,3.8
R1-191,40.7,45.2,1.01,0.73,34.2,39.8,0.91,1.44,34.83,3.6,1.4,1.8,3.8
R1-192,37.39,41.5,0.7,1.3,43.3,40.6,0.9,1.3,39.9,2.6,9,1.2,3.8
R1-193,35.04,40.1,0.52,1.36,37.8,37.3,0.72,1.39,38.88,3.5,15.9,3,3.7
R1-194,41.03846154,42.4,1.11,0.98,34.56,41,0.71,1.43,34.2,2.8,9.2,2.6,3.7
R1-195,21.7,39.8,1.11,0.91,34.02,41.2,0.91,0.87,36.18,2.2,7.6,3.1,3.6
R1-196,26.87791667,39.3,1.21,0.72,34.92,40.6,1.21,1.28,38.7,3.2,7.8,2.5,3.5
R1-197,21.42,42.5,1.11,0.6,34.38,40.6,1.01,0.93,35.82,2.2,8.6,2.3,3.5
R1-198,27.8192,42.3,1.3,1.4,32.94,41.3,0.81,1.41,35.1,10.1,12.3,2.1,3.5
R1-199,44.07,40.5,0.8,0.6,41.5,40.4,0.9,2,34.6,0.4,15.5,2.8,3.4
R1-200,40.05,40.2,1.1,1,37.1,41.2,0.9,1.2,37.6,2.8,14,2.6,3.4
R1-201,24.12,41.5,1.01,0.87,35.64,41.7,0.91,1.4,36.54,2.5,7.2,2.6,3.4
R1-202,34.7,41.3,1,0.9,34.5,39.7,0.8,1.7,38.9,1.6,10.2,2,3.4
R1-203,33.96,40.9,1.1,0.9,37.5,41.7,0.8,1.1,36.2,2.6,14,1.8,3.4
R1-204,38.12,43,1.3,0.6,32,44,0.8,1.1,36,2.6,11.8,1.2,3.4
R1-205,36.3,40,1.07,0.92,35.1,40,0.79,2.07,33.84,5,11.3,3.9,3.3
R1-206,27.4352,40.8,0.8,0.51,35.1,40.7,0.91,1.53,36.54,3.2,13.3,2,3.3
R1-207,34.4,41.1,0.96,0.52,35.46,42.2,0.93,1.76,34.83,5.3,14.1,4.6,3.2
R1-208,35.2,41.3,1.42,0.16,36,40,0.93,1.91,35.46,3.6,9.5,3,3.2
R1-209,36.91,42.3,1.22,0.96,36.54,43,1.01,0.93,35.82,3.1,8.4,2.6,3.2
R1-210,28.65,40.7,1.22,0.77,36.18,41.4,0.61,1.01,35.28,3.7,6.8,2.3,3.2
R1-211,51.38,41.9,0.6,1.08,38.88,39.2,1.21,0.86,36.4,1,8.6,2,3.2
R1-212,36.11,43.1,1,0.88,38.7,41.8,0.76,0.72,34.38,1,8.4,1.9,3.2
R1-213,52.09,42.4,1.02,0.92,34.56,42.4,0.72,1.03,30.6,2,13.8,1.8,3.2
R1-214,38.58,42.1,1.2,1.2,33.3,40.5,0.8,2.1,37.6,1.4,12.8,1.8,3.2
R1-215,35.2,43.8,1.39,0.7,37.8,42.1,1.09,1.81,31.14,4,11.4,3.8,3.1
R1-216,28.7,39.9,0.91,1.08,35.64,42.5,1.01,1.45,35.82,2.3,10.5,2.6,3.1
R1-217,47.35,41.9,1,0.1,34.7,42.1,1.4,1.4,37.3,2.6,13.2,0.6,3.1
R1-218,43.74,42.6,1.31,0.48,35.64,46.6,1.41,1.64,34.56,3.6,13.4,3.4,3
R1-219,39.67,41.5,0.7,0.4,39.4,40.4,1,0.7,38.5,2,17.4,1.8,3
R1-220,31.36,43.3,1.2,2.3,36.5,41,0.8,1.4,35.8,2,12.8,1.8,3
R1-221,41.6,39.7,0.61,0.94,36.18,40.5,0.82,1.1,34.74,2.2,9.4,1.8,3
R1-222,42.058,41.5,0.81,0.4,38.16,41.4,0.6,1.1,35.82,2.6,13.6,1.6,3
R1-223,33.27,41.4,1.51,0.57,35.08,42.1,1.01,1.75,35.01,2.8,13.2,1.2,3
R1-224,44.5025,42,0.76,0.31,37.08,42.7,0.91,1.77,32.76,3.6,10.4,1.2,3
R1-225,33.77,39.8,1.13,1.12,36.72,40.7,0.89,2.13,32.94,4.2,13.6,4.3,2.9
R1-226,34.08,39.8,1.03,1.31,34.2,38.6,0.72,1.54,38.88,4.3,10.8,3,2.9
R1-227,26.46,39.1,0.8,1.31,40.68,39.2,0.62,1.32,30.8,3,9,1.3,2.9
R1-228,42.03,45,1.46,0.17,32.4,42,1.81,2.31,32.22,3.6,10.4,3.4,2.8
R1-229,46.58,40.6,1.1,0.7,38.7,41.6,1.3,1.1,35.7,2.4,10.6,2.8,2.8
R1-230,47.13,42.2,1.02,0.13,37.57,40.2,0.81,1.33,32.04,1.4,18,2.2,2.8
R1-231,28.1592,40.8,0.81,1.24,32.22,43.3,0.91,1.57,39.06,3.6,13.6,2.2,2.8
R1-232,36.2,43.3,1.29,0.96,40.32,40.8,0.8,1.37,33.66,4.9,14.1,2,2.8
R1-233,30.82,38.4,0.82,1.17,36,39.8,1.03,1.29,30.6,3,10.1,3.6,2.7
R1-234,34.13,41.6,1.34,1.27,34.11,41.9,0.77,1.94,41.58,4,15.2,3.5,2.7
R1-235,38.5,43.6,1.41,0.7,36.72,41.5,1.1,1.22,36.54,1.4,11.8,2.6,2.6
R1-236,47.69,42.4,0.96,0.55,34.74,39.6,1.09,1.17,32.76,1.4,10.2,2.2,2.6
R1-237,49,40.9,1.11,0.76,39.42,38.2,0.82,1.22,35.1,2.2,9.3,1.6,2.6
R1-238,41.85,39.8,0.66,0.65,35.66,37.6,0.91,0.92,34.2,1.4,6.4,1.6,2.6
R1-239,39.07545455,42.3,1.01,1.06,35.19,41.1,0.63,2.02,34.11,2.6,11.4,0.5,2.6
R1-240,41.06,42.3,1,0.7,40.6,37.9,0.9,1.3,41.3,1.8,8.4,2.8,2.5
R1-241,35.1,39.5,1.39,0.43,35.82,40.6,0.82,1.9,35.64,3.9,11,3.5,2.4
R1-242,44.2,40.6,0.51,0.5,42.48,39,0.82,0.76,33.48,1.7,8.6,3,2.4
R1-243,47.58,40.5,1,0.51,38.43,40.6,0.81,1.32,37.08,1.2,4.6,2.8,2.4
R1-244,46.1,43.1,0.82,0.1,33.84,38.7,0.61,1.48,38.34,1.3,7.4,2.2,2.4
R1-245,26.98,39.5,0.63,0.27,38.61,39.9,0.8,1.32,38.07,1.1,11.6,1.2,2.4
R1-246,46.38,40.2,0.71,0.36,36.18,40.9,0.88,2.22,35.46,2.4,14,1,2.4
R1-247,31.62,41,0.9,1.3,38.2,40.7,1,1.8,38.2,0.9,5.8,2,2.2
R1-248,36.44,43,1.02,0.51,30.78,40,0.89,1.3,32.94,3.4,17.4,1.4,2.2
R1-249,32.87,43,1.3,0.25,30.96,39,0.71,1.35,33.66,3.2,13,1.2,2.2
R1-250,34.58,38.3,0.67,1.04,34.74,38,0.72,1.59,35.1,3.5,10.1,3.4,2.1
R1-251,26.68434783,39.8,1.21,0.72,34.38,41,0.81,1.43,38.52,4.7,6.2,2.5,2.1
R1-252,28.62115385,39.6,1.01,1.13,34.92,40.6,0.91,1.4,36.54,2,7.4,2,2.1
R1-253,36.5,39,1.34,0.98,36.72,40.1,1.34,2.08,35.28,2.9,11.4,3.7,2
R1-254,27.9636,41.1,1,1.34,31.14,40.3,0.81,1.29,35.1,8.6,10.3,1.4,2
